fixturepool
1	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0
127	0	0	0	0	0	0	0	0	0	0	0
255	0	0	0	0	0	0	0	0	0	0	0
511	0	0	0	0	0	0	0	0	0	0	0
1023	0	0	0	0	0	0	0	0	0	0	0
2047	0	0	0	0	0	0	0	0	0	0	0
4095	0	0	0	0	0	0	0	0	0	0	0
8191	0	0	0	0	0	0	0	0	0	0	0
16383	0	0	0	0	0	0	0	0	0	0	0
32767	0	0	0	0	0	0	0	0	0	0	0
65535	0	0	0	0	0	0	0	0	0	0	0
131071	0	0	0	0	0	0	0	0	0	0	0
262143	0	0	0	0	0	0	0	0	0	0	0
524287	0	0	0	0	0	0	0	0	0	0	0
1048575	0	0	0	0	0	0	0	0	0	0	0
2097151	0	95	0	0	0	0	0	0	0	0	0
4194303	0	5	0	0	0	0	0	0	0	0	0
8388607	0	0	0	0	0	0	0	0	0	0	0
16777215	0	0	0	0	0	0	0	0	0	0	0
33554431	0	0	0	0	0	0	0	0	0	0	0
67108863	0	0	0	0	0	0	0	0	0	0	0
134217727	0	0	0	0	0	0	0	0	0	0	0
268435455	0	0	0	0	0	0	0	0	0	0	0
536870911	0	0	0	0	0	0	0	0	0	0	0
1073741823	0	0	0	0	0	0	0	0	0	0	0
2147483647	0	0	0	0	0	0	0	0	0	0	0
4294967295	0	0	0	0	0	0	0	0	0	0	0
8589934591	0	0	0	0	0	0	0	0	0	0	0
17179869183	0	0	0	0	0	0	0	0	0	0	0
34359738367	0	0	0	0	0	0	0	0	0	0	0
68719476735	0	0	0	0	0	0	0	0	0	0	0
137438953471	0	0	0	0	0	0	0	0	0	0	0
